year,state,district,season,crop,area_ha,perc
2019-20,Andhra Pradesh,ANANTAPUR,Kharif,Arecanut,900.0,0.0
2019-20,Andhra Pradesh,ANANTAPUR,Kharif,Arhar/Tur,39414.0,4.0
2019-20,Andhra Pradesh,ANANTAPUR,Kharif,Bajra,2241.0,0.0
2019-20,Andhra Pradesh,ANANTAPUR,Kharif,Cashewnut,30.0,0.0
2019-20,Andhra Pradesh,ANANTAPUR,Kharif,Castorseed,17022.0,2.0
2019-20,Andhra Pradesh,ANANTAPUR,Kharif,Cotton(lint),51850.0,5.0
2019-20,Andhra Pradesh,ANANTAPUR,Kharif,Cowpea(Lobia),4261.0,0.0
2019-20,Andhra Pradesh,ANANTAPUR,Kharif,Drychillies,3748.0,0.0
2019-20,Andhra Pradesh,ANANTAPUR,Kharif,Groundnut,371029.0,37.0
2019-20,Andhra Pradesh,ANANTAPUR,Kharif,Horsegram,57548.0,6.0
2019-20,Andhra Pradesh,ANANTAPUR,Kharif,Jowar,23744.0,2.0
2019-20,Andhra Pradesh,ANANTAPUR,Kharif,Maize,14089.0,1.0
2019-20,Andhra Pradesh,ANANTAPUR,Kharif,Moong(GreenGram),7762.0,1.0
2019-20,Andhra Pradesh,ANANTAPUR,Kharif,Oilseedstotal,389377.0,39.0
2019-20,Andhra Pradesh,ANANTAPUR,Kharif,Onion,2168.0,0.0
2019-20,Andhra Pradesh,ANANTAPUR,Kharif,Ragi,1337.0,0.0
2019-20,Andhra Pradesh,ANANTAPUR,Kharif,Rice,18209.0,2.0
2019-20,Andhra Pradesh,ANANTAPUR,Kharif,Smallmillets,3064.0,0.0
2019-20,Andhra Pradesh,ANANTAPUR,Kharif,Soyabean,14.0,0.0
2019-20,Andhra Pradesh,ANANTAPUR,Kharif,Sugarcane,172.0,0.0
2019-20,Andhra Pradesh,ANANTAPUR,Kharif,Sunflower,1286.0,0.0
2019-20,Andhra Pradesh,ANANTAPUR,Kharif,Urad,28.0,0.0
2019-20,Andhra Pradesh,ANANTAPUR,Kharif,otheroilseeds,26.0,0.0
2019-20,Andhra Pradesh,ANANTAPUR,Rabi,Arhar/Tur,44.0,0.0
2019-20,Andhra Pradesh,ANANTAPUR,Rabi,Bajra,29.0,0.0
2019-20,Andhra Pradesh,ANANTAPUR,Rabi,Castorseed,70.0,0.0
2019-20,Andhra Pradesh,ANANTAPUR,Rabi,Coriander,469.0,0.0
2019-20,Andhra Pradesh,ANANTAPUR,Rabi,Cotton(lint),113.0,0.0
2019-20,Andhra Pradesh,ANANTAPUR,Rabi,Cowpea(Lobia),58.0,0.0
2019-20,Andhra Pradesh,ANANTAPUR,Rabi,Drychillies,125.0,0.0
2019-20,Andhra Pradesh,ANANTAPUR,Rabi,Gram,92409.0,45.0
2019-20,Andhra Pradesh,ANANTAPUR,Rabi,Groundnut,37601.0,18.0
2019-20,Andhra Pradesh,ANANTAPUR,Rabi,Horsegram,1408.0,1.0
2019-20,Andhra Pradesh,ANANTAPUR,Rabi,Jowar,5513.0,3.0
2019-20,Andhra Pradesh,ANANTAPUR,Rabi,Maize,8952.0,4.0
2019-20,Andhra Pradesh,ANANTAPUR,Rabi,Moong(GreenGram),130.0,0.0
2019-20,Andhra Pradesh,ANANTAPUR,Rabi,Oilseedstotal,39207.0,19.0
2019-20,Andhra Pradesh,ANANTAPUR,Rabi,Onion,1684.0,1.0
2019-20,Andhra Pradesh,ANANTAPUR,Rabi,OtherRabipulses,12.0,0.0
2019-20,Andhra Pradesh,ANANTAPUR,Rabi,Potato,15.0,0.0
2019-20,Andhra Pradesh,ANANTAPUR,Rabi,Ragi,1014.0,0.0
2019-20,Andhra Pradesh,ANANTAPUR,Rabi,Rice,14331.0,7.0
2019-20,Andhra Pradesh,ANANTAPUR,Rabi,Safflower,499.0,0.0
2019-20,Andhra Pradesh,ANANTAPUR,Rabi,Sesamum,9.0,0.0
2019-20,Andhra Pradesh,ANANTAPUR,Rabi,Smallmillets,55.0,0.0
2019-20,Andhra Pradesh,ANANTAPUR,Rabi,Soyabean,1.0,0.0
2019-20,Andhra Pradesh,ANANTAPUR,Rabi,Sunflower,1027.0,1.0
2019-20,Andhra Pradesh,ANANTAPUR,Rabi,Sweetpotato,1.0,0.0
2019-20,Andhra Pradesh,ANANTAPUR,Rabi,Tobacco,2.0,0.0
2019-20,Andhra Pradesh,ANANTAPUR,Rabi,Urad,36.0,0.0
2019-20,Andhra Pradesh,ANANTAPUR,Rabi,Wheat,10.0,0.0
2019-20,Andhra Pradesh,ANANTAPUR,Whole Year,Banana,15116.0,98.0
