Groups_Season,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Arecanut Kharif,,,,,,0.9,0.9,0.9,0.9,,,
Arecanut Rabi,0.9,,,,,,,,,0.9,0.9,0.9
Arecanut Whole year,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
Arecanut Summer,,0.9,0.9,0.9,0.9,,,,,,,
Pluses Kharif,,,,,,0.89,0.97,0.57,,,,
Pluses Rabi,0.57,,,,,,,,,0.38,0.89,0.97
Pluses Whole year,0.38,0.89,0.97,0.57,0.38,0.89,0.97,0.57,,0.38,0.89,0.97
Pluses Summer,,0.89,0.97,0.57,,,,,,,,
Grains Kharif,,,,,,0.33,0.55,0.8,0.44,,,
Grains Rabi,0.8,,,,,,,,,0.15,0.33,0.55
Grains Whole year,0.15,0.33,0.55,0.8,0.15,0.33,0.55,0.8,0.44,0.45,0.33,0.55
Grains Summer,,0.33,0.55,0.8,0.44,,,,,,,
Fruit orchards Kharif,,,,,,0.9,0.9,0.9,0.9,,,
Fruit orchards Rabi,0.9,,,,,,,,,0.9,0.9,0.9
Fruit orchards Whole year,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
Fruit orchards Summer,,0.9,0.9,0.9,0.9,,,,,,,
Grains Kharif,,,,,,0.33,0.55,0.8,0.44,,,
Grains Rabi,0.8,,,,,,,,,0.15,0.33,0.55
Grains Whole year,0.15,0.33,0.55,0.8,0.15,0.33,0.55,0.8,0.44,0.45,0.33,0.55
Grains Summer,,0.33,0.55,0.8,0.44,,,,,,,
Spices Kharif,,,,,,0.79,0.99,0.93,0.5,,,
Spices Rabi,0.93,,,,,,,,,0.32,0.79,0.99
Spices Whole year,0.32,0.79,0.99,0.93,0.5,0.79,0.99,0.93,0.5,0.32,0.79,0.99
Spices Summer,,0.79,0.99,0.93,0.5,,,,,,,
Spices Kharif,,,,,,0.79,0.99,0.93,0.5,,,
Spices Rabi,0.93,,,,,,,,,0.32,0.79,0.99
Spices Whole year,0.32,0.79,0.99,0.93,0.5,0.79,0.99,0.93,0.5,0.32,0.79,0.99
Spices Summer,,0.79,0.99,0.93,0.5,,,,,,,
Fruit orchards Kharif,,,,,,0.9,0.9,0.9,0.9,,,
Fruit orchards Rabi,0.9,,,,,,,,,0.9,0.9,0.9
Fruit orchards Whole year,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
Fruit orchards Summer,,0.9,0.9,0.9,0.9,,,,,,,
Oil seeds Kharif,,,,,,0.33,0.55,0.8,0.44,,,
Oil seeds Rabi,0.8,,,,,,,,,0.15,0.33,0.55
Oil seeds Whole year,0.15,0.33,0.55,0.8,0.15,0.33,0.55,0.8,0.44,0.45,0.33,0.55
Oil seeds Summer,,0.33,0.55,0.8,0.44,,,,,,,
Coconut Kharif,,,,,,0.9,0.9,0.9,0.9,,,
Coconut Rabi,0.9,,,,,,,,,0.9,0.9,0.9
Coconut Whole year,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
Coconut Summer,,0.9,0.9,0.9,0.9,,,,,,,
Vegetables Kharif,,,,,,0.89,0.97,0.57,,,,
Vegetables Rabi,0.57,,,,,,,,,0.38,0.89,0.97
Vegetables Whole year,0.38,0.89,0.97,0.57,0.38,0.89,0.97,0.57,,0.38,0.89,0.97
Vegetables Summer,,0.89,0.97,0.57,,,,,,,,
Non food crops Kharif,,,,,,0.9,0.9,0.9,0.9,,,
Non food crops Rabi,0.9,,,,,,,,,0.9,0.9,0.9
Non food crops Whole year,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
Non food crops Summer,,0.9,0.9,0.9,0.9,,,,,,,
Pluses Kharif,,,,,,0.89,0.97,0.57,,,,
Pluses Rabi,0.57,,,,,,,,,0.38,0.89,0.97
Pluses Whole year,0.38,0.89,0.97,0.57,0.38,0.89,0.97,0.57,,0.38,0.89,0.97
Pluses Summer,,0.89,0.97,0.57,,,,,,,,
Chilly Kharif,,,,,,0.89,0.97,0.57,,,,
Chilly Rabi,0.57,,,,,,,,,0.38,0.89,0.97
Chilly Whole year,0.38,0.89,0.97,0.57,0.38,0.89,0.97,0.57,,0.38,0.89,0.97
Chilly Summer,,0.89,0.97,0.57,,,,,,,,
Vegetables Kharif,,,,,,0.89,0.97,0.57,,,,
Vegetables Rabi,0.57,,,,,,,,,0.38,0.89,0.97
Vegetables Whole year,0.38,0.89,0.97,0.57,0.38,0.89,0.97,0.57,,0.38,0.89,0.97
Vegetables Summer,,0.89,0.97,0.57,,,,,,,,
Potato Kharif,,,,,,0.89,0.97,0.57,,,,
Potato Rabi,0.57,,,,,,,,,0.38,0.89,0.97
Potato Whole year,0.38,0.89,0.97,0.57,0.38,0.89,0.97,0.57,,0.38,0.89,0.97
Potato Summer,,0.89,0.97,0.57,,,,,,,,
