District,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
SOLAN,125.088,133.8373,186.3769,235.3471,277.7235,260.6588,216.3982,190.1516,195.5912,204.9222,166.8824,133.9595
SIRMAUR,126.0272,135.2263,187.939,235.2118,274.736,253.0971,211.1374,188.9754,191.6176,201.8738,166.6765,135.3484
SHIMLA,111.6365,119.7384,168.254,212.6647,250.8386,235.2706,197.0931,177.1285,177.6441,183.8422,149.8941,120.821
NEW DELHI,137.8558,146.0859,198.7556,237.2559,267.1288,242.9794,205.7488,181.4746,188.9882,206.8916,174.1676,145.6635
MORADABAD,136.2268,146.8573,203.208,243.3676,273.9184,242.8235,201.3906,179.797,183.4147,201.6915,173.0735,144.0801
RAMPUR,135.6919,146.6761,203.749,244.9853,276.0155,242.7088,200.4089,178.8335,180.8412,200.3329,172.0206,143.3142
ETAH,143.2899,154.6259,212.3956,249.9441,278.3709,245.2676,202.8646,177.4142,183.3735,207.7729,179.5794,151.1524
MAINPURI,145.855,157.5824,216.5289,252.9265,280.857,245.3941,202.5637,176.6878,183.6794,209.019,181.0618,153.6293
SAHARANPUR,130.4371,139.7749,193.13,237.0324,272.5842,247.6618,206.9311,187.3008,189.2912,202.6792,169.7971,139.5638
SHAHJAHANPUR,141.2962,152.718,212.0218,251.8471,281.2338,243.6618,199.6126,176.238,179.9324,203.0044,175.7441,148.8365
JYOTIBA PHULE NAGAR,136.2328,146.6678,201.3328,241.0265,271.2105,241.9382,202.2142,180.341,184.3824,202.506,173.1324,144.1014
MEERUT,134.8743,144.3208,197.2147,236.9441,266.9921,241.3118,204.758,181.7117,186.9647,203.4725,172.8882,143.4206
HARDOI,144.8612,155.8337,215.6263,253.8,280.6776,241.3471,197.9441,173.7094,178.5147,204.9586,178.2294,151.9365
BAGHPAT,136.3149,144.5212,197.1661,236.4176,266.9981,243.2206,206.2108,182.4016,188.9529,205.7883,173.1029,143.9859
UNNAO,149.6115,159.8471,218.9755,255.9029,279.8024,237.7559,194.1603,169.8739,175.7147,205.8522,180.3088,154.9726
GHAZIABAD,136.9106,146.031,199.1173,237.8059,266.9039,241.2324,204.4632,180.1313,186.7971,204.6699,173.8853,144.9554
BAREILLY,138.0776,149.3471,207.5511,248.4941,278.7629,243.4706,200.3269,177.5571,180.2382,201.5122,173.8118,145.7365
