Rainfall,25,50,75,100,125,150,175,200,225,250,275,300,325,350,375,400,425,450,475,500,525,550,575,600,625,650,675,700,725,750,775,800,825
12.5,7.5,8,8.6999999999999993,9,9.1999999999999993,10,10.5,11.199999999999999,11.699999999999999,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5
25,15,16.199999999999999,17.5,18,18.5,19.699999999999999,20.5,22,24.5,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
37.5,22.5,24,26.199999999999999,27.5,28.199999999999999,29.199999999999999,30.5,33,36.200000000000003,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5
50,25,32.200000000000003,34.5,35.700000000000003,36.700000000000003,39,40.5,43.700000000000003,47,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
62.5,25,39.700000000000003,42.5,44.5,46,48.5,50.5,53.700000000000003,57.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5
75,25,46.200000000000003,49.700000000000003,52.700000000000003,55,57.5,60.200000000000003,63.700000000000003,67.5,73.700000000000003,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
87.5,25,50,56.700000000000003,60.200000000000003,63.700000000000003,66,69.700000000000003,73.700000000000003,77.700000000000003,84.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5
100,25,50,63.700000000000003,67.700000000000003,72,74.200000000000003,78.700000000000003,83,87.700000000000003,95,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
112.5,25,50,70.5,75,80.200000000000003,82.5,87.200000000000003,92.700000000000003,98,105,111,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112
125,25,50,75,81.5,87.700000000000003,90.5,95.700000000000003,102,108,115,121,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125
137.5,25,50,75,88.700000000000003,95.200000000000003,98.700000000000003,104,111,118,126,132,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137
150,25,50,75,95.200000000000003,102,106,112,120,127,136,143,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150
162.5,25,50,75,100,109,113,120,128,135,145,153,160,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162
175,25,50,75,100,115,120,127,135,143,154,164,170,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175
187.5,25,50,75,100,121,126,134,142,151,161,170,179,185,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187
200,25,50,75,100,125,133,140,148,158,168,178,188,196,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
225,25,50,75,100,125,144,151,160,171,182,,,,,,,,,,,,,,,,,,,,,,,
250,25,50,75,100,125,150,161,170,183,194,,,,,,,,,,,,,,,,,,,,,,,
275,25,50,75,100,125,150,171,181,194,205,,,,,,,,,,,,,,,,,,,,,,,
300,25,50,75,100,125,150,175,190,203,215,,,,,,,,,,,,,,,,,,,,,,,
325,25,50,75,100,125,150,175,198,213,224,,,,,,,,,,,,,,,,,,,,,,,
350,25,50,75,100,125,150,175,200,220,232,,,,,,,,,,,,,,,,,,,,,,,
375,25,50,75,100,125,150,175,200,225,240,,,,,,,,,,,,,,,,,,,,,,,
400,25,50,75,100,125,150,175,200,225,247,,,,,,,,,,,,,,,,,,,,,,,
425,25,50,75,100,125,150,175,200,225,250,,,,,,,,,,,,,,,,,,,,,,,
450,25,50,75,100,125,150,175,200,225,250,,,,,,,,,,,,,,,,,,,,,,,
