State,District_N,District Name,Field4,Field5,District Code,ST_NM,DISTRICT,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Delhi,East,EAST,,EAST,93,NCT of Delhi,East,25,25,0,0,25,25,150,62.5,100,0,0,0
Delhi,North,NORTH,,NORTH,91,NCT of Delhi,North,25,25,0,0,25,25,150,62.5,100,0,0,0
Delhi,North East,North East,,North East,92,NCT of Delhi,North East,25,25,0,0,25,25,150,62.5,100,0,0,0
Delhi,North West,NORTH WEST,,NORTH WEST,90,NCT of Delhi,North West,37.5,37.5,12.5,12.5,12.5,50,250,187.5,187.5,0,0,0
Delhi,South,SOUTH,,SOUTH,98,NCT of Delhi,South,37.5,25,12.5,0,25,50,150,37.5,125,0,0,0
Haryana,Faridabad,FARIDABAD,,FARIDABAD,88,Haryana,Faridabad,37.5,25,12.5,0,25,50,150,37.5,125,0,0,0
Haryana,Gurgaon,GURGAON,,GURGAON,86,Haryana,Gurgaon,25,12.5,12.5,12.5,12.5,75,150,125,100,0,0,0
Haryana,Karnal,KARNAL,,KARNAL,74,Haryana,Karnal,25,25,12.5,0,12.5,87.5,350,137.5,225,0,0,0
Haryana,Mewat,MEWAT,,MEWAT,87,Haryana,Mewat,12.5,12.5,0,12.5,12.5,87.5,175,50,87.5,0,0,0
Haryana,Palwal,PALWAL,,PALWAL,89,Haryana,Palwal,12.5,12.5,12.5,12.5,0,62.5,150,62.5,62.5,0,0,0
Haryana,Panipat,PANIPAT,,PANIPAT,75,Haryana,Panipat,12.5,25,0,0,12.5,25,225,75,125,0,0,0
Haryana,Sonipat,SONIPAT,,SONIPAT,76,Haryana,Sonipat,12.5,25,0,0,12.5,37.5,225,87.5,162.5,0,0,0
Haryana,Yamunanagar,YAMUNANAGAR,,YAMUNANAGAR,71,Haryana,Yamunanagar,25,87.5,25,37.5,12.5,125,450,300,200,25,12.5,0
Himachal Pradesh,Shimla,SHIMLA,,SHIMLA,33,Himachal Pradesh,Shimla,87.5,150,50,37.5,62.5,87.5,250,150,200,12.5,37.5,0
Himachal Pradesh,Sirmaur,SIRMAUR,,SIRMAUR,32,Himachal Pradesh,Sirmaur,75,150,37.5,50,37.5,150,450,250,250,0,12.5,12.5
Himachal Pradesh,Solan,SOLAN,,SOLAN,31,Himachal Pradesh,Solan,62.5,150,62.5,25,50,150,275,250,250,12.5,37.5,12.5
Madhya Pradesh,Ashoknagar,Ashoknagar,,Ashoknagar,459,Madhya Pradesh,Ashoknagar,0,12.5,0,12.5,0,75,250,275,275,0,0,0
Madhya Pradesh,Bhind,BHIND,,BHIND,421,Madhya Pradesh,Bhind,0,25,0,0,0,50,425,150,175,0,0,0
Madhya Pradesh,Bhopal,BHOPAL,,BHOPAL,425,Madhya Pradesh,Bhopal,0,0,0,12.5,0,125,350,250,100,12.5,0,0
Madhya Pradesh,Chhatarpur,CHHATARPUR,,CHHATARPUR,427,Madhya Pradesh,Chhatarpur,0,0,0,12.5,0,62.5,375,250,187.5,0,0,0
Madhya Pradesh,Damoh,DAMOH,,DAMOH,428,Madhya Pradesh,Damoh,0,0,0,12.5,0,100,350,300,150,0,0,0
Madhya Pradesh,Datia,DATIA,,DATIA,429,Madhya Pradesh,Datia,0,25,0,0,0,62.5,450,187.5,225,0,0,0
Madhya Pradesh,Dewas,DEWAS,,DEWAS,430,Madhya Pradesh,Dewas,0,0,0,0,0,225,200,150,87.5,0,0,0
Madhya Pradesh,Dhar,DHAR,,DHAR,431,Madhya Pradesh,Dhar,0,0,0,0,0,150,200,225,150,0,0,0
